grupo;snis_grupo;subgrupo;snis_subgrupo;snis_familias_informacao_indicador;snis_informacao_indicador;snis_unidade;codigo_variavel;nome_variavel
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG001 - População total atendida com abastecimento de água;[Habitantes];AG001;População total atendida com abastecimento de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG001A - População total atendida com abastecimento de água no ano anterior ao de referência.;[habitante];AG001A;População total atendida com abastecimento de água no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG002 - Quantidade de ligações ativas de água;[Ligações];AG002;Quantidade de ligações ativas de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG002A - Quantidade de ligações ativas de água no ano anterior ao de referência.;[ligação];AG002A;Quantidade de ligações ativas de água no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG003 - Quantidade de economias ativas de água;[Economias];AG003;Quantidade de economias ativas de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG003A - Quantidade de economias ativas de água no ano anterior ao de referência.;[economia];AG003A;Quantidade de economias ativas de água no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG004 - Quantidade de ligações ativas de água micromedidas;[Ligações];AG004;Quantidade de ligações ativas de água micromedidas
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG004A - Quantidade de ligações ativas de água micromedidas no ano anterior ao de referência.;[ligação];AG004A;Quantidade de ligações ativas de água micromedidas no ano anterior ao de referência.
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações de água;AG005 - Extensão da rede de água;[km];AG005;Extensão da rede de água
agua-esgoto;Água e Esgotos;agregado;Informações e indicadores agregados;Informações referentes ao ano anterior ao ano de referência;AG005A - Extensão da rede de água no ano anterior ao de referência.;[km];AG005A;Extensão da rede de água no ano anterior ao de referência.
